year,reg,sex,x,mx
2003,1114,M,0,0.011027
2003,1114,M,1,0.000615
2003,1114,M,5,0.000395
2003,1114,M,10,0.000315
2003,1114,M,15,0.001279
2003,1114,M,20,0.003186
2003,1114,M,25,0.003956
2003,1114,M,30,0.005934
2003,1114,M,35,0.007696
2003,1114,M,40,0.010788
2003,1114,M,45,0.015556
2003,1114,M,50,0.02156
2003,1114,M,55,0.026271
2003,1114,M,60,0.041933
2003,1114,M,65,0.051587
2003,1114,M,70,0.076903
2003,1114,M,75,0.108168
2003,1114,M,80,0.155166
2003,1114,M,85,0.271077
2003,1114,F,0,0.0088
2003,1114,F,1,0.000723
2003,1114,F,5,0.000236
2003,1114,F,10,0.000223
2003,1114,F,15,0.000455
2003,1114,F,20,0.000933
2003,1114,F,25,0.001058
2003,1114,F,30,0.001184
2003,1114,F,35,0.001874
2003,1114,F,40,0.002804
2003,1114,F,45,0.004628
2003,1114,F,50,0.005505
2003,1114,F,55,0.009184
2003,1114,F,60,0.013229
2003,1114,F,65,0.021371
2003,1114,F,70,0.039321
2003,1114,F,75,0.064578
2003,1114,F,80,0.109299
2003,1114,F,85,0.223431
2003,1115,M,0,0.014784
2003,1115,M,1,0.000805
2003,1115,M,5,0.000582
2003,1115,M,10,0.000542
2003,1115,M,15,0.0015
2003,1115,M,20,0.003533
2003,1115,M,25,0.006204
2003,1115,M,30,0.009474
2003,1115,M,35,0.011531
2003,1115,M,40,0.016357
2003,1115,M,45,0.022214
2003,1115,M,50,0.030137
2003,1115,M,55,0.039812
2003,1115,M,60,0.054975
2003,1115,M,65,0.064059
2003,1115,M,70,0.085992
2003,1115,M,75,0.116938
2003,1115,M,80,0.163052
2003,1115,M,85,0.257138
2003,1115,F,0,0.012114
2003,1115,F,1,0.000698
2003,1115,F,5,0.000349
2003,1115,F,10,0.000219
2003,1115,F,15,0.000513
2003,1115,F,20,0.000901
2003,1115,F,25,0.001302
2003,1115,F,30,0.002118
2003,1115,F,35,0.003124
2003,1115,F,40,0.00375
2003,1115,F,45,0.005087
2003,1115,F,50,0.007544
2003,1115,F,55,0.012327
2003,1115,F,60,0.014754
2003,1115,F,65,0.024242
2003,1115,F,70,0.040791
2003,1115,F,75,0.069845
2003,1115,F,80,0.114593
2003,1115,F,85,0.243458
2003,1117,M,0,0.011511
2003,1117,M,1,0.000551
2003,1117,M,5,0.000708
2003,1117,M,10,0.000829
2003,1117,M,15,0.001998
2003,1117,M,20,0.004573
2003,1117,M,25,0.007072
2003,1117,M,30,0.010378
2003,1117,M,35,0.013439
2003,1117,M,40,0.019111
2003,1117,M,45,0.025704
2003,1117,M,50,0.036487
2003,1117,M,55,0.043724
2003,1117,M,60,0.061108
2003,1117,M,65,0.067809
2003,1117,M,70,0.095836
2003,1117,M,75,0.12871
2003,1117,M,80,0.165937
2003,1117,M,85,0.282288
2003,1117,F,0,0.007894
2003,1117,F,1,0.000444
2003,1117,F,5,0.000474
2003,1117,F,10,0.000354
2003,1117,F,15,0.000886
2003,1117,F,20,0.001369
2003,1117,F,25,0.001869
2003,1117,F,30,0.002559
2003,1117,F,35,0.003374
2003,1117,F,40,0.004664
2003,1117,F,45,0.005881
